Yr,Winner,Loser
2011,Memphis Grizzlies (8),San Antonio Spurs (1)
2011,Los Angeles Lakers (2),New Orleans Hornets (7)
2011,Dallas Mavericks (3),Portland Trail Blazers (6)
2011,Oklahoma City Thunder (4),Denver Nuggets (5)
2011,Chicago Bulls (1),Atlanta Hawks (5)
2011,Miami Heat (2),Boston Celtics (3)
2011,Dallas Mavericks (3),Los Angeles Lakers (2)
2011,Oklahoma City Thunder (4),Memphis Grizzlies (8)
2011,Miami Heat (2),Chicago Bulls (1)
2011,Dallas Mavericks (3),Oklahoma City Thunder (4)
2011,Dallas Mavericks (3),Miami Heat (2)
2010,Cleveland Cavaliers (1),Chicago Bulls (8)
2010,Orlando Magic (2),Charlotte Bobcats (7)
2010,Atlanta Hawks (3),Milwaukee Bucks (6)
2010,Boston Celtics (4),Miami Heat (5)
2010,Los Angeles Lakers (1),Oklahoma City Thunder (8)
2010,San Antonio Spurs (7),Dallas Mavericks (2)
2010,Phoenix Suns (3),Portland Trail Blazers (6)
2010,Utah Jazz (5),Denver Nuggets (4)
2010,Boston Celtics (4),Cleveland Cavaliers (1)
2010,Orlando Magic (2),Atlanta Hawks (3)
2010,Los Angeles Lakers (1),Utah Jazz (5)
2010,Phoenix Suns (3),San Antonio Spurs (7)
2010,Los Angeles Lakers (1),Phoenix Suns (3)
2010,Boston Celtics (4),Orlando Magic (2)
2010,Los Angeles Lakers (1),Boston Celtics (4)
2009,Cleveland Cavaliers (1),Detroit Pistons (8)
2009,Boston Celtics (2),Chicago Bulls (7)
2009,Orlando Magic (3),Philadelphia 76ers (6)
2009,Atlanta Hawks (4),Miami Heat (5)
2009,Los Angeles Lakers (1),Utah Jazz (8)
2009,Denver Nuggets (2),New Orleans Hornets (7)
2009,Dallas Mavericks (6),San Antonio Spurs (3)
2009,Houston Rockets (5),Portland Trail Blazers (4)
2009,Los Angeles Lakers (1),Houston Rockets (5)
2009,Denver Nuggets (2),Dallas Mavericks (6)
2009,Cleveland Cavaliers (1),Atlanta Hawks (4)
2009,Orlando Magic (3),Boston Celtics (2)
2009,Orlando Magic (3),Cleveland Cavaliers (1)
2009,Los Angeles Lakers (1),Denver Nuggets (2)
